Mon,Tue,Wed,Thu,Fri,Sat,Sun,lat,long,rad
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0.0125,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0,0,0,0,0,40.45282,-79.94933,12
0,0,0.111111111,0,0,0,0,40.4519,-79.9516,30
0,0.0416666667,0,0,0.08,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0.117647059,0,0,0.5,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0.113207547,0,0,40.4519,-79.9516,30
0,0,0,0,0,0.0588235294,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0.0476190476,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0.0375,0,0,0,0,40.4519,-79.9516,30
0,0,0.142857143,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0.0192307692,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.4519,-79.9516,30
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0.0212765957,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0.0588235294,0,0,0.0833333333,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0.0188679245,0,0,40.45178,-79.95254,12
0,0,0,0,0,0.0294117647,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0.0434782609,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0.0112359551,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45178,-79.95254,12
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0.0212765957,0,0,40.45187,-79.94909,15
0,0,0,0,0.306666667,0,0,40.45187,-79.94909,15
0,0,0.0181818182,0,0.117647059,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0.014084507,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0.20754717,0,40.45187,-79.94909,15
0,0,0,0,0,0.406779661,0,40.45187,-79.94909,15
0,0,0,0,0,0.186440678,0,40.45187,-79.94909,15
